"Intent","Utterance"
"Small Talk","How are you doing?"
"Small Talk","How do you do?"
"Small Talk","How have you been?"
"Small Talk","How are you?"
"Small Talk","What have you been?"
"Small Talk","How are you recently?"
"Small Talk","Are you doing well?"
"Small Talk","Are you doing good?"
"Small Talk","What have you been doing lately?"
"Small Talk","How do you do lately?"
"Small Talk","What do you have to offer me?"
"閒聊","你最近點呀？"
"閒聊","你呢排點呀？"
"閒聊","你近期好嗎？"
"閒聊","你好嗎？"
"閒聊","你近期點樣呀？"
"閒聊","你最近好嗎？"
"閒聊","你點呀？"
"Purchase","How to purchase a checkup plan?"
"Purchase","How to buy a checkup plan?"
"Purchase","How can I get a checkup?"
"Purchase","I want to get a body checkup?"
"Purchase","How to get a body check?"
"Purchase","How to buy a body checkup plan?"
"Purchase","I would like to get a body check?"
"Purchase","What do I do to buy a body check?"
"Purchase","What do I do to purchase a checkup plan?"
"Purchase","How to get a checkup plan?"
"Purchase","如何購買身體檢查計劃？"
"Purchase","點樣買身體檢查計劃"
"Purchase","我想買身體檢查計劃"
"Purchase","我想做body checkup?"
"Purchase","點樣買body checkup plan?"
"Purchase","我想買body checkup?"
"Payment","How to make payment?"
"Payment","How to pay?"
"Payment","What method can I pay?"
"Payment","How can I pay?"
"Payment","Can I use online payment?"
"Payment","Can I pay by credit card?"
"Payment","What can I pay with?"
"Payment","How can I settle the payment?"
"Payment","How to settle the payment?"
"Payment","How to pay the bills?"
"Payment","What method can I use to pay?"
"Payment","可以點畀錢？"
"Payment","我可以用咩方法俾錢？"
"Payment","你地收啲咩？"
"Payment","我可以點俾錢？"
"Payment","用咩方法找數？"
"Payment","我有咩方法俾錢？"
"Payment","點樣俾錢？"
"Payment","有咩方法比錢？"
"Booking Call Request","I have not received the call from the centre."
"Booking Call Request","I haven't received the call."
"Booking Call Request","I don't get any call."
"Booking Call Request","I didn't get the call from the centre."
"Booking Call Request","Why don't you call me?"
"Booking Call Request","When will you call me?"
"Booking Call Request","When will the centre call me?"
"Booking Call Request","How long do I get the call fro the centre?"
"Booking Call Request","I couldn't received the call."
"Booking Call Request","I still haven't get the call."
"Booking Call Request","我收唔到體檢中心電話"
"Booking Call Request","我收唔到你地電話"
"Booking Call Request","你地無打俾我喎"
"Booking Call Request","你地點解唔打比我"
"Booking Call Request","你地點解唔call我"
"Booking Call Request","你地冇人call過我"
"Change Booking","I want to change my booking appointment"
"Change Booking","How to change my booking?"
"Change Booking","I want to change my booking?"
"Change Booking","What should I do to change my scheduled booking?"
"Change Booking","I want to change my appointment?"
"Change Booking","How to change my appointment?"
"Change Booking","How can I change booking time?"
"Change Booking","What can I do to change my booking?"
"Change Booking","What can I do to change the appointment?"
"Change Booking","How to get another appointment time?"
"Change Booking","我想更改預約時間"
"Change Booking","點先可以改booking"
"Change Booking","我需要改appointment"
"Change Booking","我點樣改預約"
"Change Booking","我點先改到appointment時間"
"Change Booking","我想改booking時間"
"Change Booking","可唔可以幫我改時間"
"Change Booking","可唔可以幫我改booking"
"Premium","What are the premiums available now?"
"Premium","What premiums can I get?"
"Premium","How can I get premiums?"
"Premium","What premiums can you give me?"
"Premium","What premiums are available?"
"Premium","What premiums are you going to give me?"
"Premium","What premiums can I receive?"
"Premium","What kind of premiums can I get?"
"Premium","What are the available premiums now?"
"Premium","What are the premiums available?"
"Premium","現在有什麼贈品？"
"Premium","你有咩送俾我？"
"Premium","依家有咩送？"
"Premium","你可以送咩比我？"
"Premium","依家有咩贈品？"
"Premium","而家有咩贈品？"
"Premium","現在有咩送？"
"Premium","你可以送咩贈品俾我？"
"Premium","你有咩贈品可以送比我？"
"Plan Double","Does the 2 Persons Plan include the price for two persons?"
"Plan Double","Is the 2 Persons Plan includes the payment of two people?"
"Plan Double","Is the 2 Persons Plan covers the price of two people?"
"Plan Double","二人同行個價錢係咪包兩個人？"
"Plan Double","二人同行係咪已經包兩個人？"
"Plan Double","二人同行個價係咪包兩個人？"
"Plan Double","二人同行係咪cover兩個人？"
"Plan Double","二人同行個價係cover哂兩個人？"
"HPV Vaccine Sutability","Can I receive HPV vaccine injection if..."
"HPV Vaccine Sutability","Can I get HPV vaccine?"
"HPV Vaccine Sutability","Can I reveive HPV vaccine?"
"HPV Vaccine Sutability","Can I receive HPV injection?"
"HPV Vaccine Sutability","How to get HPV injection?"
"HPV Vaccine Sutability","How can I get a HPV injection?"
"HPV Vaccine Sutability","How to get HPV vaccine?"
"HPV Vaccine Sutability","How can I get a HPV vaccine?"
"HPV Vaccine Sutability","I would like to get a HPV injection."
"HPV Vaccine Sutability","I would like to get a HPV vaccine."
"HPV Vaccine Sutability","I want to get a HPV injection."
"HPV Vaccine Sutability","我可以打子宮頸癌疫苗嗎？"
"HPV Vaccine Sutability","我點樣先可以打子宮頸癌疫苗？"
"HPV Vaccine Sutability","我點樣先可以打子宮頸癌針？"
"HPV Vaccine Sutability","我可以打子宮頸癌針嗎？"
"HPV Vaccine Sutability","我可唔可以打HPV疫苗？"
"HPV Vaccine Sutability","我可唔可以打子宮頸癌針？"
"HPV Vaccine Sutability","我可唔可以打子宮頸癌疫苗？"
"HPV Vaccine Sutability","我可以打HPV疫苗？"
"HPV Vaccine Sutability","我可以打子宮頸癌疫苗？"
"Receipt","How to get a receipt?"
"Receipt","How can I get a receipt?"
"Receipt","I would like to get a receipt"
"Receipt","I want to get a receipt"
"Receipt","I need a receipt"
"Receipt","Any receipt for me?"
"Receipt","What do I do to get a receipt?"
"Receipt","Will you give me a receipt?"
"Receipt","Are you going to issue a receipt?"
"Receipt","Can I get a receipt?"
"Receipt","Can you give me a receipt?"
"Receipt","如何索取收據？"
"Receipt","點先拎到收據？"
"Receipt","點攞receipt?"
"Receipt","點拎receipt ?"
"Receipt","點先拎到receipt?"
"Receipt","我想要收據？"
"Receipt","我點拎到收據？"
"Receipt","我要點拎收據？"
"Receipt","點樣拎收據？"
"Receipt","點樣攞收據？"
"Change Details","How to make changes to the details of body check receiver?"
"Change Details","How to change the details of body check receiver?"
"Change Details","How to change the person who get body check?"
"Change Details","What do I do to change the details of body check receiver?"
"Change Details","How can I make amendments on the details of body check receiver?"
"Change Details","I want to change the details of body check receiver"
"Change Details","How can I change the details of body check receiver?"
"Change Details","I want to make amendments for the details of body check receiver"
"Change Details","I would like to change the details of body check receiver?"
"Change Details","How to make amendments on the details of body check receiver?"
"Change Details","Can I change the details of body check receiver?"
"Change Details","如何更改驗身者資料？"
"Change Details","點改驗身者資料？"
"Change Details","點改驗身者info?"
"Change Details","點樣改到驗身者資料？"
"Change Details","我需要改驗身者資料？"
"Change Details","我想改驗身者資料？"
"Change Details","點先改到驗身者資料？"
"Change Details","我要改驗身者資料？"
"Change Details","點先改到驗身者info？"
"Bodycheck Precautions","What are the precautions in body check?"
"Bodycheck Precautions","Are there any precautions in the body check?"
"Bodycheck Precautions","Are there anything I need to aware for the checkup?"
"Bodycheck Precautions","What do I need to be aware of in the body check?"
"Bodycheck Precautions","What do I need to be aware of in the checkup?"
"Bodycheck Precautions","What are the precautions in checkup?"
"Bodycheck Precautions","Are there any precautions in the checkup?"
"Bodycheck Precautions","Are there anything I need to aware for the body check?"
"Bodycheck Precautions","Should I notice anything before the checkup?"
"Bodycheck Precautions","Should I notice anything before the body check?"
"Bodycheck Precautions","Should I be aware of anything before the checkup?"
"Bodycheck Precautions","bodycheck 有咩注意事項？"
"Bodycheck Precautions","checkup前有咩要注意?"
"Bodycheck Precautions","checkup前有咩注意事項?"
"Bodycheck Precautions","檢查前有咩注意?"
"Bodycheck Precautions","檢查前有咩注意事項？"
"Bodycheck Precautions","檢查前有啲咩要注意架？"
"Bodycheck Precautions","檢查前有咩要留意？"
"Bodycheck Precautions","checkup前有咩要留意？"
"Bodycheck Precautions","checkup前有啲咩要注意架？"
